
TIME	EVENT	SRC	DST
1.37248000000960024281	ACK-CREAT	2	38
1.37334400000960021870	ACK-TO-TRANS	4	38
1.37734400000960022226	ACK-ARRiv 	4	32
1.37752400001040031796	ARR-FROM-TRNSP	3	65
1.37752400001040031796	ARR-FROM-TRNSP	3	66
1.38430000000879993571	DEP-FROM-SRC	1	44
1.38430000000880015776	DEP-FROM-SRC	1	46
1.38830000000880016131	ARR-TO-DEST	1	39
1.38848000000960025702	ACK-CREAT	2	39
1.38934400000960023291	ACK-TO-TRANS	4	39
1.39334400000960045851	ACK-ARRiv 	4	33
1.39352400001040055422	ARR-FROM-TRNSP	3	67
1.39352400001040055422	ARR-FROM-TRNSP	3	68
1.40030000000880017197	DEP-FROM-SRC	1	45
1.40430000000880017552	ARR-TO-DEST	1	40
1.40448000000960027123	ACK-CREAT	2	40
1.40534400000960024713	ACK-TO-TRANS	4	40
1.40934400000960047272	ACK-ARRiv 	4	34
1.40952400001040056843	ARR-FROM-TRNSP	3	69
1.40952400001040056843	ARR-FROM-TRNSP	3	70
1.41630000000880018618	DEP-FROM-SRC	1	48
1.42030000000879996769	ARR-TO-DEST	1	42
1.42048000000960006339	ACK-CREAT	2	42
1.42134400000960003929	ACK-TO-TRANS	4	42
1.42534400000960048693	ACK-ARRiv 	4	35
1.42552400001040058264	ARR-FROM-TRNSP	3	71
1.42552400001040058264	ARR-FROM-TRNSP	3	72
1.43230000000880020039	DEP-FROM-SRC	1	47
1.43630000000879998190	ARR-TO-DEST	1	41
1.43648000000960007760	ACK-CREAT	2	41
1.43734400000960005350	ACK-TO-TRANS	4	41
1.44134400000960050114	ACK-ARRiv 	4	36
1.44152400001040059685	ARR-FROM-TRNSP	3	73
1.44152400001040059685	ARR-FROM-TRNSP	3	74
1.44830000000880021460	DEP-FROM-SRC	1	50
1.45734400000960051536	ACK-ARRiv 	4	37
1.45752400001040061106	ARR-FROM-TRNSP	3	75
1.45752400001040061106	ARR-FROM-TRNSP	3	76
1.46430000000880022881	DEP-FROM-SRC	1	49
1.46830000000880001032	ARR-TO-DEST	1	43
1.46848000000960010603	ACK-CREAT	2	43
1.46934400000960008192	ACK-TO-TRANS	4	43
1.47334400000960030752	ACK-ARRiv 	4	38
1.47352400001040040323	ARR-FROM-TRNSP	3	77
1.47352400001040040323	ARR-FROM-TRNSP	3	78
1.48030000000880002098	DEP-FROM-SRC	1	52
1.48430000000880002453	ARR-TO-DEST	1	44
1.48430000000880024658	ARR-TO-DEST	1	46
1.48448000000960012024	ACK-CREAT	2	44
1.48448000000960034228	ACK-CREAT	2	44
1.48534400000960009613	ACK-TO-TRANS	4	44
1.48534400000960031818	ACK-TO-TRANS	4	44
1.48934400000960032173	ACK-ARRiv 	4	39
1.48952400001040041744	ARR-FROM-TRNSP	3	79
1.48952400001040041744	ARR-FROM-TRNSP	3	80
1.49630000000880003519	DEP-FROM-SRC	1	51
1.50030000000880026079	ARR-TO-DEST	1	45
1.50048000000960035649	ACK-CREAT	2	45
1.50134400000960033239	ACK-TO-TRANS	4	45
1.50534400000960033594	ACK-ARRiv 	4	40
1.50552400001040043165	ARR-FROM-TRNSP	3	81
1.50552400001040043165	ARR-FROM-TRNSP	3	82
1.51230000000880004940	DEP-FROM-SRC	1	56
1.51630000000880027500	ARR-TO-DEST	1	48
1.51648000000960037070	ACK-CREAT	2	48
1.51734400000960034660	ACK-TO-TRANS	4	48
1.52134400000960012811	ACK-ARRiv 	4	42
1.52152400001040022381	ARR-FROM-TRNSP	3	83
1.52152400001040022381	ARR-FROM-TRNSP	3	84
1.52830000000880006361	DEP-FROM-SRC	1	55
1.53230000000880028921	ARR-TO-DEST	1	47
1.53248000000960038491	ACK-CREAT	2	47
1.53334400000960036081	ACK-TO-TRANS	4	47
1.53734400000960014232	ACK-ARRiv 	4	41
1.53752400001040023803	ARR-FROM-TRNSP	3	85
1.53752400001040023803	ARR-FROM-TRNSP	3	86
1.54430000000880007782	DEP-FROM-SRC	1	54
1.54830000000880030342	ARR-TO-DEST	1	50
1.54848000000960039912	ACK-CREAT	2	50
1.54934400000960037502	ACK-TO-TRANS	4	50
1.56030000000880009203	DEP-FROM-SRC	1	53
1.56430000000880031763	ARR-TO-DEST	1	49
1.56448000000960041334	ACK-CREAT	2	49
1.56534400000960038923	ACK-TO-TRANS	4	49
1.56934400000960017074	ACK-ARRiv 	4	43
1.56952400001040026645	ARR-FROM-TRNSP	3	87
1.56952400001040026645	ARR-FROM-TRNSP	3	88
1.57630000000880010624	DEP-FROM-SRC	1	58
1.58030000000880010980	ARR-TO-DEST	1	52
1.58048000000960020550	ACK-CREAT	2	52
1.58134400000960018140	ACK-TO-TRANS	4	52
1.58534400000960018495	ACK-ARRiv 	4	44
1.58534400000960040700	ACK-ARRiv 	4	44
1.58552400001040028066	ARR-FROM-TRNSP	3	89
1.58552400001040028066	ARR-FROM-TRNSP	3	90
1.58552400001040050270	ARR-FROM-TRNSP	3	91
1.58552400001040050270	ARR-FROM-TRNSP	3	92
1.59230000000880012045	DEP-FROM-SRC	1	57
1.59630000000880012401	ARR-TO-DEST	1	51
1.59648000000960021971	ACK-CREAT	2	51
1.59734400000960019561	ACK-TO-TRANS	4	51
1.60134400000960042121	ACK-ARRiv 	4	45
1.60152400001040051691	ARR-FROM-TRNSP	3	93
1.60152400001040051691	ARR-FROM-TRNSP	3	94
1.60830000000880013467	DEP-FROM-SRC	1	59
1.61230000000880013822	ARR-TO-DEST	1	56
1.61248000000960023392	ACK-CREAT	2	56
1.61334400000960020982	ACK-TO-TRANS	4	56
1.61734400000960043542	ACK-ARRiv 	4	48
1.61752400001040053112	ARR-FROM-TRNSP	3	95
1.61752400001040053112	ARR-FROM-TRNSP	3	96
1.62430000000880014888	DEP-FROM-SRC	1	60
1.62830000000880015243	ARR-TO-DEST	1	55
1.62848000000960024813	ACK-CREAT	2	55
1.62934400000960022403	ACK-TO-TRANS	4	55
1.63334400000960044963	ACK-ARRiv 	4	47
1.63352400001040054534	ARR-FROM-TRNSP	3	97
1.63352400001040054534	ARR-FROM-TRNSP	3	98
1.64030000000880016309	DEP-FROM-SRC	1	61
1.64430000000880016664	ARR-TO-DEST	1	54
1.64448000000960026235	ACK-CREAT	2	54
1.64534400000960023824	ACK-TO-TRANS	4	54
1.64934400000960046384	ACK-ARRiv 	4	50
1.64952400001040055955	ARR-FROM-TRNSP	3	99
1.64952400001040055955	ARR-FROM-TRNSP	3	100
1.65630000000880017730	DEP-FROM-SRC	1	62
1.66030000000880018085	ARR-TO-DEST	1	53
1.66048000000960027656	ACK-CREAT	2	53
1.66134400000960025245	ACK-TO-TRANS	4	53
1.66534400000960047805	ACK-ARRiv 	4	49
1.66552400001040057376	ARR-FROM-TRNSP	3	101
1.66552400001040057376	ARR-FROM-TRNSP	3	102
1.67630000000880019506	ARR-TO-DEST	1	58
1.67648000000960029077	ACK-CREAT	2	58
1.67734400000960026667	ACK-TO-TRANS	4	58
1.68134400000960027022	ACK-ARRiv 	4	52
1.68152400001040036592	ARR-FROM-TRNSP	3	103
1.68152400001040036592	ARR-FROM-TRNSP	3	104
1.69230000000880020927	ARR-TO-DEST	1	57
1.69248000000960030498	ACK-CREAT	2	57
1.69334400000960028088	ACK-TO-TRANS	4	57
1.69734400000960028443	ACK-ARRiv 	4	51
1.69752400001040038013	DEP-FROM-SRC	1	63
1.69752400001040038013	ARR-FROM-TRNSP	3	106
1.69752400001040038013	ARR-FROM-TRNSP	3	105
1.70830000000880022348	ARR-TO-DEST	1	59
1.70848000000960031919	ACK-CREAT	2	59
1.70934400000960029509	ACK-TO-TRANS	4	59
1.71334400000960029864	ACK-ARRiv 	4	56
1.71352400001040039434	DEP-FROM-SRC	1	64
1.71352400001040039434	ARR-FROM-TRNSP	3	108
1.71352400001040039434	ARR-FROM-TRNSP	3	107
1.72430000000880023769	ARR-TO-DEST	1	60
1.72448000000960033340	ACK-CREAT	2	60
1.72534400000960030930	ACK-TO-TRANS	4	60
1.72934400000960031285	ACK-ARRiv 	4	55
1.72952400001040040856	DEP-FROM-SRC	1	65
1.72952400001040040856	ARR-FROM-TRNSP	3	110
1.72952400001040040856	ARR-FROM-TRNSP	3	109
1.74030000000880025190	ARR-TO-DEST	1	61
1.74048000000960034761	ACK-CREAT	2	61
1.74134400000960032351	ACK-TO-TRANS	4	61
1.74534400000960032706	ACK-ARRiv 	4	54
1.74552400001040042277	DEP-FROM-SRC	1	66
1.74552400001040042277	ARR-FROM-TRNSP	3	112
1.74552400001040042277	ARR-FROM-TRNSP	3	111
1.74552400001040064481	DEP-FROM-SRC	1	67
1.75630000000880026612	ARR-TO-DEST	1	62
1.75648000000960036182	ACK-CREAT	2	62
1.75734400000960033772	ACK-TO-TRANS	4	62
1.76134400000960034127	ACK-ARRiv 	4	53
1.76152400001040043698	ARR-FROM-TRNSP	3	113
1.76152400001040043698	ARR-FROM-TRNSP	3	114
1.76152400001040065902	DEP-FROM-SRC	1	68
1.77734400000960035548	ACK-ARRiv 	4	58
1.77752400001040045119	ARR-FROM-TRNSP	3	115
1.77752400001040045119	ARR-FROM-TRNSP	3	116
1.77752400001040067323	DEP-FROM-SRC	1	69
1.79334400000960036969	ACK-ARRiv 	4	57
1.79352400001040046540	DEP-FROM-SRC	1	70
1.79352400001040046540	ARR-FROM-TRNSP	3	118
1.79352400001040046540	ARR-FROM-TRNSP	3	117
1.79752400001040046895	ARR-TO-DEST	1	63
1.79770400001120056466	ACK-CREAT	2	63
1.79856800001120054056	ACK-TO-TRANS	4	63
1.80934400000960038390	ACK-ARRiv 	4	59
1.80952400001040047961	DEP-FROM-SRC	1	71
1.80952400001040047961	ARR-FROM-TRNSP	3	120
